Year,Year ending,Police Region,Local Government Area,LGA,Offence Count,"Rate per 100,000 population"
2017,June,4 Western, Buloke,BULOKE,177,2853
2017,June,4 Western, Campaspe,CAMPASPE,3540,9416
2017,June,4 Western, Central Goldfields,CENTRAL GOLDFIELDS,1228,9340
2017,June,4 Western, Colac-Otway,COLAC-OTWAY,2096,9781
2017,June,4 Western, Corangamite,CORANGAMITE,1082,6675
2017,June,4 Western, Gannawarra,GANNAWARRA,664,6283
2017,June,4 Western, Glenelg,GLENELG,1665,8455
2017,June,4 Western, Golden Plains,GOLDEN PLAINS,752,3332
2017,June,4 Western, Greater Bendigo,GREATER BENDIGO,10556,9252
2017,June,4 Western, Greater Geelong,GREATER GEELONG,22671,9226
2017,June,4 Western, Hepburn,HEPBURN,849,5432
2017,June,4 Western, Hindmarsh,HINDMARSH,411,7188
2017,June,4 Western, Horsham,HORSHAM,2578,12965
2017,June,4 Western, Loddon,LODDON,411,5475
2017,June,4 Western, Macedon Ranges,MACEDON RANGES,2222,4589
2017,June,4 Western, Mildura,MILDURA,6763,12265
2017,June,4 Western, Moorabool,MOORABOOL,2513,7515
2017,June,4 Western, Mount Alexander,MOUNT ALEXANDER,1117,5788
2017,June,4 Western, Moyne,MOYNE,705,4198
2017,June,4 Western, Northern Grampians,NORTHERN GRAMPIANS,1252,10871
2017,June,4 Western, Pyrenees,PYRENEES,543,7380
2017,June,4 Western, Queenscliffe,QUEENSCLIFFE,151,5103
2017,June,4 Western, Southern Grampians,SOUTHERN GRAMPIANS,1330,8249
2017,June,4 Western, Surf Coast,SURF COAST,1316,4198
2017,June,4 Western, Swan Hill,SWAN HILL,2288,10975
2017,June,4 Western, Warrnambool,WARRNAMBOOL,3458,10003
2017,June,4 Western, West Wimmera,WEST WIMMERA,198,5085
2017,June,4 Western, Yarriambiack,YARRIAMBIACK,454,6792
2017,June,4 Western,Total,TOTAL,86264,8789
2017,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,JUSTICE INSTITUTIONS AND IMMIGRATION FACILITIES,2055,
2017,June,Justice Institutions and Immigration Facilities,Total,TOTAL,2055,
2017,June,Unincorporated Vic, Unincorporated Vic,UNINCORPORATED VIC,138,
2017,June,Unincorporated Vic,Total,TOTAL,138,
2016,June,1 North West Metro, Banyule,BANYULE,10026,7867
2016,June,1 North West Metro, Brimbank,BRIMBANK,19606,9602
2016,June,1 North West Metro, Darebin,DAREBIN,16582,10689
2016,June,1 North West Metro, Hobsons Bay,HOBSONS BAY,6998,7489
2016,June,1 North West Metro, Hume,HUME,22609,10920
2016,June,1 North West Metro, Maribyrnong,MARIBYRNONG,9304,10701
2016,June,1 North West Metro, Melbourne,MELBOURNE,36161,24752
2016,June,1 North West Metro, Melton,MELTON,12179,8612
2016,June,1 North West Metro, Moonee Valley,MOONEE VALLEY,9286,7558
2016,June,1 North West Metro, Moreland,MORELAND,14743,8557
2016,June,1 North West Metro, Nillumbik,NILLUMBIK,3463,5396
2016,June,1 North West Metro, Whittlesea,WHITTLESEA,15500,7486
2016,June,1 North West Metro, Wyndham,WYNDHAM,15713,6922
2016,June,1 North West Metro, Yarra,YARRA,13836,14894
2016,June,1 North West Metro,Total,TOTAL,206006,10059
2016,June,2 Eastern, Alpine,ALPINE,425,3379
2016,June,2 Eastern, Bass Coast,BASS COAST,3032,9060
2016,June,2 Eastern, Baw Baw,BAW BAW,4135,8388
2016,June,2 Eastern, Benalla,BENALLA,1519,10864
2016,June,2 Eastern, Boroondara,BOROONDARA,8064,4549
2016,June,2 Eastern, East Gippsland,EAST GIPPSLAND,4305,9441
2016,June,2 Eastern, Greater Shepparton,GREATER SHEPPARTON,8044,12362
2016,June,2 Eastern, Indigo,INDIGO,464,2870
2016,June,2 Eastern, Knox,KNOX,10669,6653
2016,June,2 Eastern, Latrobe,LATROBE,14090,18882
2016,June,2 Eastern, Manningham,MANNINGHAM,4492,3665
2016,June,2 Eastern, Mansfield,MANSFIELD,563,6491
2016,June,2 Eastern, Maroondah,MAROONDAH,8567,7463
2016,June,2 Eastern, Mitchell,MITCHELL,4383,10487
2016,June,2 Eastern, Moira,MOIRA,1725,5850
2016,June,2 Eastern, Monash,MONASH,12230,6349
2016,June,2 Eastern, Murrindindi,MURRINDINDI,735,5231
2016,June,2 Eastern, South Gippsland,SOUTH GIPPSLAND,1367,4694
2016,June,2 Eastern, Strathbogie,STRATHBOGIE,586,5658
2016,June,2 Eastern, Towong,TOWONG,257,4251
2016,June,2 Eastern, Wangaratta,WANGARATTA,2553,8929
2016,June,2 Eastern, Wellington,WELLINGTON,4636,10650
2016,June,2 Eastern, Whitehorse,WHITEHORSE,8217,4844
2016,June,2 Eastern, Wodonga,WODONGA,3460,8628
2016,June,2 Eastern, Yarra Ranges,YARRA RANGES,8836,5692
2016,June,2 Eastern,Total,TOTAL,117354,7091
2016,June,3 Southern Metro, Bayside,BAYSIDE,5076,4932
2016,June,3 Southern Metro, Cardinia,CARDINIA,7662,7853
2016,June,3 Southern Metro, Casey,CASEY,22774,7281
2016,June,3 Southern Metro, Frankston,FRANKSTON,16070,11520
2016,June,3 Southern Metro, Glen Eira,GLEN EIRA,6863,4619
2016,June,3 Southern Metro, Greater Dandenong,GREATER DANDENONG,20640,12882
2016,June,3 Southern Metro, Kingston,KINGSTON,11299,7109
2016,June,3 Southern Metro, Mornington Peninsula,MORNINGTON PENINSULA,11633,7202
2016,June,3 Southern Metro, Port Phillip,PORT PHILLIP,12881,11858
2016,June,3 Southern Metro, Stonnington,STONNINGTON,10732,9668
2016,June,3 Southern Metro,Total,TOTAL,125630,8366
2016,June,4 Western, Ararat,ARARAT,1223,10413
2016,June,4 Western, Ballarat,BALLARAT,11616,11223
2016,June,4 Western, Buloke,BULOKE,253,4026
2016,June,4 Western, Campaspe,CAMPASPE,3557,9461
2016,June,4 Western, Central Goldfields,CENTRAL GOLDFIELDS,1579,12065
